************************************
* 隐马尔科夫模型统计
名称 start middle end
*******************************************

者,2,17,503
型,9,28,151
析,6,12,15
直,113,24,46
备,30,23,37
施,114,11,21
担,18,3,6
运,84,55,85
处,40,26,162
域,6,8,31
故,39,6,22
事,47,66,197
变,99,18,77
什,23,25,31
么,1,19,20
营,68,27,81
香,118,57,109
港,31,27,100
质,37,44,116
量,25,40,277
指,95,9,41
传,121,55,118
前,147,42,85
精,108,23,32
神,205,49,112
家,130,262,439
向,151,38,74
接,108,25,28
疗,9,13,13
贡,27,6,14
献,29,26,13
民,118,52,183
族,11,23,146
牌,11,18,83
列,42,32,38
剧,36,22,132
起,105,50,123
来,78,46,172
荣,62,33,88
誉,2,21,16
材,4,10,45
丰,82,26,45
富,96,33,40
值,11,11,90
培,18,30,34
养,68,42,47
策,16,7,38
节,57,29,156
医,60,21,34
十,122,49,16
征,46,17,37
布,176,79,119
先,71,24,63
委,31,19,77
效,21,24,34
样,14,9,46
父,19,14,48
亲,78,19,55
交,161,38,47
际,2,26,25
比,93,31,79
赛,56,38,114
革,19,8,21
湾,10,27,92
左,131,9,7
右,52,20,17
记,55,25,134
置,19,9,27
突,38,10,12
原,142,58,74
因,30,23,38
希,57,66,56
望,60,15,78
受,110,11,24
从,69,24,23
识,16,19,32
注,31,5,32
象,26,33,49
甚,16,0,6
至,29,19,31
水,383,166,347
字,47,53,95
律,16,29,47
植,35,15,28
何,254,5,23
力,38,116,338
超,105,14,62
冠,34,55,34
军,147,34,399
切,62,23,38
课,22,6,48
添,12,5,7
执,44,6,8
按,36,1,3
照,50,27,54
所,40,11,104
属,19,24,57
继,28,48,16
续,22,16,16
风,147,65,298
格,104,99,111
背,46,14,24
景,50,71,76
庭,7,21,48
共,75,8,16
流,131,74,143
造,53,31,31
载,29,17,37
独,100,7,10
球,45,44,143
训,23,16,36
青,193,60,102
年,103,78,185
宣,93,26,21
办,30,17,76
唱,35,12,35
央,11,9,4
阶,13,6,11
段,71,4,51
书,112,69,288
农,124,20,59
空,124,55,74
东,349,106,195
西,394,127,175
软,64,2,19
殊,7,5,7
状,11,41,81
态,2,20,56
坚,25,10,29
监,61,14,34
督,18,13,11
促,17,3,11
检,54,10,24
确,18,11,6
势,9,10,69
批,32,5,17
调,130,16,81
否,7,1,6
验,24,36,21
汽,31,5,6
车,122,41,228
母,52,29,71
子,113,315,1161
孩,7,12,13
厘,5,4,4
米,148,63,75
强,108,20,100
汉,139,64,93
销,20,23,43
售,19,20,19
努,11,12,6
广,167,46,33
泛,20,3,6
季,51,26,44
攻,35,7,17
击,26,47,58
区,54,14,696
致,44,14,26
四,160,30,34
普,128,51,55
每,62,0,1
气,111,63,234
具,17,11,64
银,104,21,41
告,33,29,34
严,110,8,16
命,29,32,93
放,112,28,67
核,87,12,28
州,19,129,389
健,36,30,62
康,129,45,73
绩,6,1,15
另,17,0,0
杂,68,14,19
志,31,134,137
操,42,3,16
今,40,5,15
涯,0,0,3
拍,33,4,17
摄,35,6,5
铁,197,65,58
金,607,118,181
排,98,18,26
队,15,9,256
概,21,0,4
社,41,14,94
恢,8,2,4
复,113,24,40
序,13,14,27
欧,85,14,17
洲,4,59,87
卫,75,80,77
浙,15,1,5
江,206,121,252
山,269,196,899
终,37,2,10
需,11,3,9
求,63,10,45
争,47,16,16
儿,25,62,400
逐,25,2,5
渐,12,1,4
离,60,30,43
身,54,31,138
显,53,26,24
案,13,15,97
五,233,28,30
略,15,17,38
算,25,18,43
距,5,11,19
爱,111,36,72
践,3,4,4
承,72,63,30
皇,66,66,32
帝,34,26,141
素,36,36,128
均,25,15,36
连,121,53,58
稳,22,4,8
天,408,200,247
下,255,63,179
美,183,91,134
念,19,37,47
拼,20,0,5
话,25,35,145
斗,39,41,50
英,99,58,169
易,97,43,32
食,66,23,71
措,9,0,6
八,123,22,21
号,27,23,137
推,88,7,13
证,30,21,84
籍,5,4,32
疾,15,1,17
病,74,17,186
等,48,21,49
练,23,23,30
媒,8,10,7
融,23,16,18
六,127,21,22
善,49,55,57
患,9,3,13
份,8,6,21
干,150,64,81
挥,21,18,5
曾,131,7,13
例,11,4,34
温,121,24,49
观,83,29,101
众,28,17,32
河,128,69,447
南,416,139,184
巨,101,17,4
画,64,35,76
群,44,11,102
雄,45,20,85
迅,6,3,8
毫,15,1,9
博,106,43,53
士,29,121,157
席,16,12,39
客,65,27,100
械,2,20,8
述,8,10,34
女,146,43,127
性,63,52,754
将,33,26,56
播,25,14,26
降,47,16,30
低,94,8,15
移,32,6,24
映,15,15,19
细,86,33,18
胞,7,13,32
足,35,33,48
古,241,59,50
满,73,17,50
老,343,86,72
装,70,32,90
唯,20,5,6
七,100,25,25
武,251,68,128
器,14,13,338
取,51,16,63
考,71,16,40
虑,0,2,12
朋,8,12,11
友,17,28,77
硕,6,6,19
束,16,8,18
敌,30,4,36
感,52,18,112
觉,13,22,41
钟,88,32,54
党,62,12,86
九,158,21,29
苏,231,26,35
宗,71,77,161
村,56,18,429
几,22,3,6
乎,0,7,29
召,21,10,14
川,47,73,104
死,75,18,86
亡,14,6,22
园,27,30,175
附,45,6,9
近,71,11,30
追,69,3,8
谓,2,0,11
童,61,16,42
予,2,8,20
纪,76,25,71
步,46,41,73
互,30,4,2
湖,61,27,250
双,170,11,12
扩,27,4,1
掌,38,15,38
握,8,2,5
航,59,18,57
津,11,51,32
维,96,97,82
伍,44,2,7
盟,12,11,25
颜,43,12,31
荐,3,6,8
章,66,19,107
试,69,16,28
居,49,31,80
早,53,3,21
险,17,24,35
绿,88,29,31
配,58,15,31
拔,27,11,14
典,16,15,46
飞,113,26,125
适,29,10,17
街,27,14,80
留,62,26,39
迎,31,7,10
破,77,18,29
坏,15,7,13
胜,29,55,84
认,36,3,16
亚,147,94,161
漫,24,8,12
腾,20,13,36
讯,4,13,20
玩,29,10,13
可,158,64,52
逝,4,1,9
消,88,7,11
输,37,17,6
困,15,11,14
难,59,25,60
药,83,36,125
财,48,5,31
白,465,75,108
竞,24,2,4
避,30,1,8
千,100,25,22
符,19,6,32
寻,44,5,7
找,25,0,7
森,24,34,132
林,416,100,265
压,70,42,77
妻,11,3,20
刊,12,2,35
达,94,71,204
住,36,14,87
深,117,9,28
仍,3,0,1
兄,7,15,54
弟,7,11,52
随,48,3,8
陆,95,13,10
皮,104,65,101
肤,3,14,6
徽,16,8,15
圳,1,4,1
丽,35,99,115
测,47,16,26
诗,56,28,93
症,4,0,78
酒,83,26,126
店,24,4,107
周,443,27,55
限,22,12,23
彩,60,24,40
尽,28,5,25
依,52,23,23
购,26,13,28
买,38,17,10
尚,81,31,31
龄,1,18,51
履,9,6,4
乡,46,24,491
镇,63,33,1274
令,24,35,94
幸,26,4,16
福,106,80,97
红,244,72,145
带,51,12,135
秘,31,10,13
密,84,30,47
遗,56,7,7
址,0,1,25
触,26,7,5
总,157,27,14
云,187,109,191
斤,2,3,4
障,6,11,12
贸,14,7,14
庆,25,85,74
吸,55,12,5
男,62,13,26
妈,7,9,37
套,43,3,36
真,102,41,78
错,27,12,29
误,25,0,15
伤,43,14,69
害,9,7,45
估,12,3,5
益,32,25,36
描,10,2,4
星,94,52,179
防,108,21,38
止,25,7,28
拒,9,0,3
绝,66,2,24
熟,24,8,24
永,114,97,48
远,72,42,101
临,124,5,25
床,18,5,45
陕,12,1,2
键,4,9,21
码,9,12,34
脑,63,13,27
